Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated,Position
,,Signed,,,,,,,Cap At Signing,,Value,APY,Guaranteed,QB
Joe Burrow,Bengals,2023,5,,"$275,000,000 ","$55,000,000 ","$146,510,000 ",,24.50%,,"$368,460,854 ","$73,692,171 ","$196,302,544 ",QB
Aaron Rodgers,GB/NYJ,2022,5,,"$150,815,000 ","$50,271,667 ","$101,415,000 ",,24.10%,,"$218,181,931 ","$72,727,311 ","$146,715,648 ",QB
Josh Allen,Bills,2021,6,,"$258,000,000 ","$43,000,000 ","$100,000,000 ",,23.60%,,"$425,806,027 ","$70,967,671 ","$165,041,096 ",QB
Russell Wilson,Broncos,2022,5,,"$245,000,000 ","$49,000,000 ","$124,000,000 ",,23.50%,,"$354,438,040 ","$70,887,608 ","$179,389,049 ",QB
Dak Prescott,Cowboys,2024,4,,"$240,000,000 ","$60,000,000 ","$129,000,000 ",,23.50%,,"$283,038,371 ","$70,759,593 ","$152,133,125 ",QB
Justin Herbert,Chargers,2023,5,,"$262,500,000 ","$52,500,000 ","$133,738,375 ",,23.40%,,"$351,712,633 ","$70,342,527 ","$179,190,385 ",QB
Lamar Jackson,Ravens,2023,5,,"$260,000,000 ","$52,000,000 ","$135,000,000 ",,23.10%,,"$348,362,989 ","$69,672,598 ","$180,880,783 ",QB
Patrick Mahomes,Chiefs,2020,10,,"$450,000,000 ","$45,000,000 ","$63,081,905 ",,22.70%,,"$683,854,692 ","$68,385,469 ","$95,864,126 ",QB
Jalen Hurts,Eagles,2023,5,,"$255,000,000 ","$51,000,000 ","$110,000,000 ",,22.70%,,"$341,663,701 ","$68,332,740 ","$147,384,342 ",QB
Kyler Murray,Cardinals,2022,5,,"$230,500,000 ","$46,100,000 ","$103,300,000 ",,22.10%,,"$333,461,095 ","$66,692,219 ","$149,442,651 ",QB
Deshaun Watson,Browns,2022,5,,"$230,000,000 ","$46,000,000 ","$230,000,000 ",,22.10%,,"$332,737,752 ","$66,547,550 ","$332,737,752 ",QB
